Train Loss,Valid Loss,Train Accuracy,Valid Accuracy,Valid Voting Accuracy,Train Voting Accuracy,Valid Voting F1,Train Voting F1,lr
1.3381638248390126,1.276990671490514,0.4398364485981308,0.5034883720930232,0.5813953488372093,0.45058139534883723,0.3958533114395183,0.23023411371237454,1e-06
1.1736276261160308,1.179713198750518,0.522196261682243,0.536046511627907,0.6395348837209303,0.5813953488372093,0.4786874304783092,0.41284817301006554,0.00010002133879020707
0.9900609098862265,1.108518053210059,0.6039719626168224,0.5674418604651162,0.6976744186046512,0.7122093023255814,0.5953354981190461,0.6190971581960221,1e-06
0.905403903711622,1.0869764860286268,0.6445677570093458,0.5825581395348837,0.6976744186046512,0.747093023255814,0.6372349120316599,0.6774899192862922,0.00010002133879020701
0.7976056699440858,1.0615629356960918,0.696553738317757,0.5965116279069768,0.7209302325581395,0.8197674418604651,0.6258443607327988,0.7790781286224324,1e-06
0.7409961477061299,1.0884301606998887,0.7149532710280374,0.5883720930232558,0.7441860465116279,0.8488372093023255,0.6638789366343546,0.8131577556718341,0.00010002133879020708
0.6632657048301162,1.09911798460539,0.7494158878504673,0.5953488372093023,0.7209302325581395,0.9098837209302325,0.6342415754180459,0.8941673044826277,1e-06
0.6088708608506996,1.1147977163625318,0.7815420560747663,0.5918604651162791,0.7209302325581395,0.9418604651162791,0.6255387205387205,0.9249863148920895,0.00010002133879023265
0.5465298838147493,1.1130294042964315,0.8084112149532711,0.586046511627907,0.7906976744186046,0.9505813953488372,0.7165991902834008,0.9399350513249974,1e-06
0.5145108786141761,1.1377788507661155,0.8189252336448598,0.5813953488372093,0.7325581395348837,0.9563953488372093,0.651079911079911,0.9325101135850501,0.00010002133879020696
